,compound
0,0.158238
1,0.183386
2,0.184614
3,0.1881695
4,0.17085899999999998
5,0.163138
6,0.16165849999999998
7,0.18106950000000002
8,0.133811
9,0.0976975
10,0.14697100000000002
11,0.1560045
12,0.17658250000000003
13,0.1652805
14,0.14893600000000004
15,0.17353900000000003
16,0.18562450000000003
17,0.1708695
18,0.129808
19,0.13219
20,0.12467500000000001
21,0.152529
22,0.149334
23,0.15824950000000002
24,0.155105
25,0.18009699999999998
26,0.1793795
27,0.193598
28,0.195383
29,0.199839
30,0.18921799999999997
31,0.16289749999999997
32,0.1462525
33,0.1811055
34,0.201252
35,0.17084049999999998
36,0.1328825
37,0.132352
38,0.1314925
39,0.13871050000000001
40,0.15473900000000002
41,0.1720295
42,0.17113399999999998
43,0.173274
44,0.15014399999999997
45,0.17454150000000002
46,0.17177999999999996
47,0.183316
48,0.180619
49,0.169011
50,0.1823285
51,0.146054
52,0.134474
53,0.15106999999999998
54,0.1755355
55,0.14670450000000002
56,0.1160605
57,0.1000655
58,0.109787
59,0.1021295
60,0.0985875
61,0.09350349999999999
62,0.1172825
63,0.13701750000000001
64,0.127436
65,0.17258050000000005
66,0.16999000000000003
67,0.13636600000000001
68,0.14287750000000002
69,0.1485785
70,0.1804475
71,0.16831699999999997
72,0.14925477386934674
73,0.16136733668341707
74,0.12325628140703516
75,0.1185125
76,0.1222015
77,0.1356125
78,0.10333500000000001
79,0.08052799999999999
80,0.11435950000000002
81,0.0835425
82,0.11057750000000001
83,0.11554799999999998
84,0.11478450000000001
85,0.11426650000000001
86,0.1161735
87,0.11901100000000002
88,0.0889105
89,0.12007800000000002
90,0.155858
91,0.15355200000000002
92,0.1482255
93,0.137759
94,0.14969599999999997
95,0.1540205
96,0.16785049999999999
97,0.15130000000000002
98,0.1272865
99,0.1406605
100,0.1145425
101,0.11065350000000002
102,0.08908200000000002
103,0.058352261306532684
104,0.016081407035175892
105,0.04619748743718594
106,0.09774924623115577
107,0.07424120603015076
108,0.1098625
109,0.07414199999999999
110,0.09497100000000001
111,0.12191849999999999
112,0.11656850000000002
113,0.1520185
114,0.15343600000000002
115,0.1403985
116,0.2172055
117,0.179412
118,0.161324
119,0.13833700000000002
120,0.13892249999999998
121,0.1625205
122,0.16449199999999997
123,0.15859100000000004
124,0.133584
125,0.104246
126,0.132287
127,0.1377325
128,0.135455
129,0.13337300000000002
130,0.11810649999999999
131,0.127291
132,0.11567949999999999
133,0.1220035
134,0.144112
135,0.1379815
136,0.1108835
137,0.126276
138,0.0978265
139,0.125587
140,0.07594300000000001
141,0.1359145
142,0.09279799999999999
143,0.0964995
144,0.095221
145,0.09799100000000001
146,0.0684915
147,0.0678615
148,0.056614500000000005
149,0.076398
150,0.06589749999999998
151,0.08363300000000001
152,0.060923
153,0.056481500000000004
154,0.03630150000000001
155,0.025101
156,0.011824
157,-0.007776500000000002
