,dates
0,2019-01-03T00:00:00.000000
1,2019-01-10T00:00:00.000000
2,2019-01-17T00:00:00.000000
3,2019-01-24T00:00:00.000000
4,2019-01-31T00:00:00.000000
5,2019-02-07T00:00:00.000000
6,2019-02-14T00:00:00.000000
7,2019-02-21T00:00:00.000000
8,2019-02-28T00:00:00.000000
9,2019-03-07T00:00:00.000000
10,2019-03-14T00:00:00.000000
11,2019-03-21T00:00:00.000000
12,2019-03-28T00:00:00.000000
13,2019-04-04T00:00:00.000000
14,2019-04-11T00:00:00.000000
15,2019-04-18T00:00:00.000000
16,2019-04-25T00:00:00.000000
17,2019-05-02T00:00:00.000000
18,2019-05-09T00:00:00.000000
19,2019-05-16T00:00:00.000000
20,2019-05-23T00:00:00.000000
21,2019-05-30T00:00:00.000000
22,2019-06-06T00:00:00.000000
23,2019-06-13T00:00:00.000000
24,2019-06-20T00:00:00.000000
25,2019-06-27T00:00:00.000000
26,2019-07-04T00:00:00.000000
27,2019-07-11T00:00:00.000000
28,2019-07-18T00:00:00.000000
29,2019-07-25T00:00:00.000000
30,2019-08-01T00:00:00.000000
31,2019-08-08T00:00:00.000000
32,2019-08-15T00:00:00.000000
33,2019-08-22T00:00:00.000000
34,2019-08-29T00:00:00.000000
35,2019-09-05T00:00:00.000000
36,2019-09-12T00:00:00.000000
37,2019-09-19T00:00:00.000000
38,2019-09-26T00:00:00.000000
39,2019-10-03T00:00:00.000000
40,2019-10-10T00:00:00.000000
41,2019-10-17T00:00:00.000000
42,2019-10-24T00:00:00.000000
43,2019-10-31T00:00:00.000000
44,2019-11-07T00:00:00.000000
45,2019-11-14T00:00:00.000000
46,2019-11-21T00:00:00.000000
47,2019-11-28T00:00:00.000000
48,2019-12-05T00:00:00.000000
49,2019-12-12T00:00:00.000000
50,2019-12-19T00:00:00.000000
51,2019-12-26T00:00:00.000000
52,2020-01-02T00:00:00.000000
53,2020-01-09T00:00:00.000000
54,2020-01-16T00:00:00.000000
55,2020-01-23T00:00:00.000000
56,2020-01-30T00:00:00.000000
57,2020-02-06T00:00:00.000000
58,2020-02-13T00:00:00.000000
59,2020-02-20T00:00:00.000000
60,2020-02-27T00:00:00.000000
61,2020-03-05T00:00:00.000000
62,2020-03-12T00:00:00.000000
63,2020-03-19T00:00:00.000000
64,2020-03-26T00:00:00.000000
65,2020-04-02T00:00:00.000000
66,2020-04-09T00:00:00.000000
67,2020-04-16T00:00:00.000000
68,2020-04-23T00:00:00.000000
69,2020-04-30T00:00:00.000000
70,2020-05-07T00:00:00.000000
71,2020-05-14T00:00:00.000000
72,2020-05-21T00:00:00.000000
73,2020-05-28T00:00:00.000000
74,2020-06-04T00:00:00.000000
75,2020-06-11T00:00:00.000000
76,2020-06-18T00:00:00.000000
77,2020-06-25T00:00:00.000000
78,2020-07-02T00:00:00.000000
79,2020-07-09T00:00:00.000000
80,2020-07-16T00:00:00.000000
81,2020-07-23T00:00:00.000000
82,2020-07-30T00:00:00.000000
83,2020-08-06T00:00:00.000000
84,2020-08-13T00:00:00.000000
85,2020-08-20T00:00:00.000000
86,2020-08-27T00:00:00.000000
87,2020-09-03T00:00:00.000000
88,2020-09-10T00:00:00.000000
89,2020-09-17T00:00:00.000000
90,2020-09-24T00:00:00.000000
91,2020-10-01T00:00:00.000000
92,2020-10-08T00:00:00.000000
93,2020-10-15T00:00:00.000000
94,2020-10-22T00:00:00.000000
95,2020-10-29T00:00:00.000000
96,2020-11-05T00:00:00.000000
97,2020-11-12T00:00:00.000000
98,2020-11-19T00:00:00.000000
99,2020-11-26T00:00:00.000000
100,2020-12-03T00:00:00.000000
101,2020-12-10T00:00:00.000000
102,2020-12-17T00:00:00.000000
103,2020-12-24T00:00:00.000000
104,2020-12-31T00:00:00.000000
105,2021-01-07T00:00:00.000000
106,2021-01-14T00:00:00.000000
107,2021-01-21T00:00:00.000000
108,2021-01-28T00:00:00.000000
109,2021-02-04T00:00:00.000000
110,2021-02-11T00:00:00.000000
111,2021-02-18T00:00:00.000000
112,2021-02-25T00:00:00.000000
113,2021-03-04T00:00:00.000000
114,2021-03-11T00:00:00.000000
115,2021-03-18T00:00:00.000000
116,2021-03-25T00:00:00.000000
117,2021-04-01T00:00:00.000000
118,2021-04-08T00:00:00.000000
119,2021-04-15T00:00:00.000000
120,2021-04-22T00:00:00.000000
121,2021-04-29T00:00:00.000000
122,2021-05-06T00:00:00.000000
123,2021-05-13T00:00:00.000000
124,2021-05-20T00:00:00.000000
125,2021-05-27T00:00:00.000000
126,2021-06-03T00:00:00.000000
127,2021-06-10T00:00:00.000000
128,2021-06-17T00:00:00.000000
129,2021-06-24T00:00:00.000000
130,2021-07-01T00:00:00.000000
131,2021-07-08T00:00:00.000000
132,2021-07-15T00:00:00.000000
133,2021-07-22T00:00:00.000000
134,2021-07-29T00:00:00.000000
135,2021-08-05T00:00:00.000000
136,2021-08-12T00:00:00.000000
137,2021-08-19T00:00:00.000000
138,2021-08-26T00:00:00.000000
139,2021-09-02T00:00:00.000000
140,2021-09-09T00:00:00.000000
141,2021-09-16T00:00:00.000000
142,2021-09-23T00:00:00.000000
143,2021-09-30T00:00:00.000000
144,2021-10-07T00:00:00.000000
145,2021-10-14T00:00:00.000000
146,2021-10-21T00:00:00.000000
147,2021-10-28T00:00:00.000000
148,2021-11-04T00:00:00.000000
149,2021-11-11T00:00:00.000000
150,2021-11-18T00:00:00.000000
151,2021-11-25T00:00:00.000000
152,2021-12-02T00:00:00.000000
153,2021-12-09T00:00:00.000000
154,2021-12-16T00:00:00.000000
155,2021-12-23T00:00:00.000000
156,2021-12-30T00:00:00.000000
157,2022-01-06T00:00:00.000000
