,energy
0,0.69505
1,0.685995
2,0.693635
3,0.694285
4,0.6924549999999999
5,0.690765
6,0.682115
7,0.6829
8,0.69527
9,0.6963750000000001
10,0.686275
11,0.681045
12,0.6920599999999999
13,0.68099
14,0.69316
15,0.697095
16,0.6952000000000002
17,0.6983599999999999
18,0.6732235
19,0.683835
20,0.688925
21,0.686975
22,0.6946199999999999
23,0.6932300000000001
24,0.698665
25,0.695245
26,0.6959150000000001
27,0.68829
28,0.6927600000000002
29,0.69281
30,0.69624
31,0.69965
32,0.7030200000000001
33,0.69916
34,0.69706
35,0.69077
36,0.6955849999999999
37,0.6932650000000001
38,0.693185
39,0.690225
40,0.6839000000000002
41,0.67917
42,0.682475
43,0.6825399999999999
44,0.684955
45,0.6828049999999999
46,0.68275
47,0.6863399999999998
48,0.6859350000000001
49,0.694475
50,0.693195
51,0.7056699999999999
52,0.7092149999999999
53,0.69695
54,0.693275
55,0.6989150000000001
56,0.6989750000000001
57,0.7015350000000001
58,0.704755
59,0.7081700000000001
60,0.723115
61,0.7085049999999999
62,0.705955
63,0.7082599999999999
64,0.70613
65,0.7123249999999999
66,0.7059899999999999
67,0.7028899999999999
68,0.692175
69,0.69359
70,0.6905899999999999
71,0.687295
72,0.6927035175879398
73,0.6949698492462311
74,0.6998341708542714
75,0.6994149999999999
76,0.6908799999999999
77,0.69833
78,0.6997999999999999
79,0.705375
80,0.708305
81,0.7081400000000001
82,0.693125
83,0.6996000000000001
84,0.703245
85,0.7045950000000001
86,0.705065
87,0.7177449999999999
88,0.726735
89,0.720615
90,0.719315
91,0.7203700000000001
92,0.716465
93,0.7241350000000001
94,0.7135849999999999
95,0.711065
96,0.71057
97,0.7120099999999999
98,0.707795
99,0.7026
100,0.71088
101,0.707815
102,0.70678
103,0.719211055276382
104,0.7347336683417086
105,0.7307989949748743
106,0.7148693467336683
107,0.7138793969849246
108,0.711695
109,0.710675
110,0.7175499999999999
111,0.7286
112,0.71627
113,0.7072149999999999
114,0.7036800000000001
115,0.7021649999999999
116,0.7067
117,0.7074699999999998
118,0.69525
119,0.698595
120,0.700635
121,0.699905
122,0.6933400000000001
123,0.688635
124,0.6868000000000001
125,0.6625649999999998
126,0.6732049999999999
127,0.66565
128,0.6712600000000001
129,0.685465
130,0.70289
131,0.7086150000000001
132,0.710985
133,0.713435
134,0.718805
135,0.7049850000000001
136,0.7212199999999999
137,0.7191649999999999
138,0.7241300000000002
139,0.71985
140,0.7138550000000001
141,0.7141299999999999
142,0.7133449999999999
143,0.71745
144,0.71839
145,0.7171649999999999
146,0.7043
147,0.705
148,0.715925
149,0.704525
150,0.70738
151,0.705245
152,0.70907
153,0.7115799999999999
154,0.7203539325842697
155,0.7216167664670659
156,0.7224131736526946
157,0.7224478527607361
