,neg
0,0.023840000000000004
1,0.024749999999999998
2,0.023555000000000003
3,0.02337
4,0.023885
5,0.023035000000000007
6,0.028975
7,0.028345000000000002
8,0.025105000000000002
9,0.024775000000000002
10,0.02519
11,0.025780000000000004
12,0.024795
13,0.028135000000000004
14,0.032255000000000006
15,0.03166
16,0.028800000000000003
17,0.02795
18,0.026755000000000004
19,0.02706
20,0.028450000000000003
21,0.02931
22,0.027155000000000006
23,0.028229999999999998
24,0.026109999999999998
25,0.026075
26,0.026610000000000005
27,0.02601
28,0.028035000000000004
29,0.026765000000000004
30,0.027225000000000003
31,0.026125
32,0.026105
33,0.025015
34,0.028290000000000006
35,0.026915000000000005
36,0.02883
37,0.02806
38,0.027504999999999998
39,0.026109999999999998
40,0.02673
41,0.02817
42,0.026775000000000004
43,0.025840000000000002
44,0.02713
45,0.026779999999999998
46,0.026520000000000002
47,0.026365
48,0.026910000000000003
49,0.024489999999999998
50,0.02479
51,0.023700000000000002
52,0.024050000000000002
53,0.025775000000000003
54,0.026125000000000002
55,0.02702
56,0.027105
57,0.027160000000000004
58,0.027874999999999997
59,0.02817
60,0.028954999999999998
61,0.029000000000000005
62,0.027440000000000003
63,0.02628
64,0.02749
65,0.029175000000000003
66,0.029035000000000002
67,0.031045
68,0.030300000000000004
69,0.03266
70,0.031165
71,0.03169
72,0.030969849246231158
73,0.031939698492462316
74,0.03594974874371859
75,0.03225
76,0.031685000000000005
77,0.02984
78,0.031805
79,0.030010000000000002
80,0.028105
81,0.027445
82,0.031050000000000005
83,0.028055
84,0.026920000000000003
85,0.026615000000000003
86,0.025885
87,0.027620000000000006
88,0.028485
89,0.027265
90,0.02923
91,0.028360000000000003
92,0.030130000000000004
93,0.026295000000000002
94,0.026945
95,0.028635
96,0.028120000000000003
97,0.02648
98,0.028730000000000002
99,0.027535000000000004
100,0.026595000000000004
101,0.02679
102,0.027705
103,0.026341708542713574
104,0.02505527638190955
105,0.02619095477386935
106,0.028110552763819092
107,0.02996482412060302
108,0.029215
109,0.029619999999999997
110,0.02995
111,0.02582
112,0.027755000000000002
113,0.026410000000000003
114,0.02564
115,0.026905000000000002
116,0.027670000000000004
117,0.027265
118,0.029615
119,0.029515000000000003
120,0.028399999999999998
121,0.028405
122,0.029585
123,0.02834
124,0.02849
125,0.034565
126,0.03314
127,0.032795
128,0.032569999999999995
129,0.030895000000000002
130,0.030754999999999998
131,0.029165
132,0.029730000000000003
133,0.030035000000000003
134,0.02847
135,0.03305
136,0.030010000000000002
137,0.030225000000000005
138,0.029605000000000003
139,0.031415
140,0.02841
141,0.030555
142,0.03299
143,0.030060000000000003
144,0.03005
145,0.02827
146,0.029895000000000005
147,0.029154999999999997
148,0.02867
149,0.025425
150,0.027235
151,0.03007
152,0.029380000000000003
153,0.027934999999999998
154,0.026745
155,0.025505000000000003
156,0.023855000000000005
157,0.02589
