,pos
0,0.038965
1,0.04073
2,0.03973
3,0.04208
4,0.04102
5,0.03837
6,0.04724999999999999
7,0.04928
8,0.040275
9,0.036135
10,0.04130000000000001
11,0.0429
12,0.042434999999999994
13,0.045470000000000003
14,0.04615500000000001
15,0.046775000000000004
16,0.044974999999999994
17,0.045235000000000004
18,0.04009
19,0.038790000000000005
20,0.040374999999999994
21,0.044715
22,0.042035
23,0.04195499999999999
24,0.039265
25,0.04111499999999999
26,0.041245
27,0.04285
28,0.04341999999999999
29,0.045065
30,0.04353
31,0.040650000000000006
32,0.03864
33,0.039005
34,0.04316
35,0.04042
36,0.03909
37,0.038130000000000004
38,0.036435
39,0.035145
40,0.036595
41,0.039110000000000006
42,0.039315
43,0.04020000000000001
44,0.04173
45,0.0424
46,0.042195
47,0.04247
48,0.040805
49,0.039830000000000004
50,0.041195
51,0.03614
52,0.0354
53,0.04034499999999999
54,0.044875
55,0.043465000000000004
56,0.04136
57,0.040185
58,0.04255
59,0.03818
60,0.038045
61,0.039305
62,0.04025
63,0.042679999999999996
64,0.04176
65,0.04978
66,0.046035000000000006
67,0.04471
68,0.04252000000000001
69,0.045739999999999996
70,0.048095
71,0.048215
72,0.047211055276381905
73,0.048773869346733674
74,0.05242713567839196
75,0.04808
76,0.04782
77,0.04593
78,0.04594
79,0.042379999999999994
80,0.04247999999999999
81,0.039314999999999996
82,0.04602500000000001
83,0.043175
84,0.041295
85,0.04294
86,0.0409
87,0.042409999999999996
88,0.042425
89,0.044235000000000003
90,0.047095000000000005
91,0.045880000000000004
92,0.047714999999999994
93,0.04518
94,0.045434999999999996
95,0.04852499999999999
96,0.05098
97,0.04846
98,0.04804
99,0.046095000000000004
100,0.044165
101,0.044669999999999994
102,0.040970000000000006
103,0.03838693467336683
104,0.03431155778894473
105,0.03713065326633166
106,0.04523618090452261
107,0.042718592964824116
108,0.04583
109,0.044895
110,0.047035
111,0.04636
112,0.04581
113,0.04406000000000001
114,0.043164999999999995
115,0.041815
116,0.046805000000000006
117,0.04324999999999999
118,0.044235000000000003
119,0.042585
120,0.042355000000000004
121,0.044635
122,0.04755499999999999
123,0.046875
124,0.044775
125,0.050690000000000006
126,0.050875000000000004
127,0.05063000000000001
128,0.049065
129,0.04669
130,0.047295
131,0.04711500000000001
132,0.04669
133,0.04678499999999999
134,0.04641
135,0.049499999999999995
136,0.045634999999999995
137,0.047065
138,0.044885
139,0.04751
140,0.04032
141,0.04928000000000001
142,0.046515
143,0.042935
144,0.04234500000000001
145,0.04179
146,0.042480000000000004
147,0.040935
148,0.039420000000000004
149,0.036745
150,0.03744
151,0.04054499999999999
152,0.03777
153,0.036175
154,0.034755
155,0.033005
156,0.029975
157,0.032
