,valence
0,0.6191165000000001
1,0.607005
2,0.6009515000000001
3,0.6024165
4,0.602035
5,0.6126014999999999
6,0.5935015
7,0.5950865000000001
8,0.6095065
9,0.6269615000000001
10,0.6143814999999999
11,0.6119465
12,0.6177715
13,0.6065404999999999
14,0.6078665
15,0.6033865
16,0.6108315000000001
17,0.6205865
18,0.6048880000000001
19,0.6147875
20,0.6125324999999999
21,0.6138475
22,0.6116125000000001
23,0.6133700000000001
24,0.6220300000000001
25,0.616576
26,0.616956
27,0.6128910000000001
28,0.620406
29,0.6181145000000001
30,0.6230760000000001
31,0.629551
32,0.633076
33,0.637546
34,0.638286
35,0.636861
36,0.6285315
37,0.6275565000000001
38,0.6295515
39,0.638236
40,0.6353525000000001
41,0.6338425
42,0.6405905000000002
43,0.6391605000000001
44,0.6418504999999999
45,0.6470855
46,0.6472155
47,0.6522605000000001
48,0.6454605
49,0.6491055
50,0.6407465000000001
51,0.6511525
52,0.663015
53,0.6452704999999999
54,0.6413765000000001
55,0.650254
56,0.647619
57,0.6449000000000001
58,0.644725
59,0.6488945000000002
60,0.6536685
61,0.6331345
62,0.6442610000000001
63,0.6387510000000001
64,0.632866
65,0.644251
66,0.6412059999999999
67,0.6404510000000001
68,0.630836
69,0.6282505
70,0.6275185000000001
71,0.6148585
72,0.6157723618090453
73,0.6141492462311557
74,0.6010291457286433
75,0.6206785
76,0.6161735
77,0.6198440000000001
78,0.619534
79,0.6227935
80,0.635676
81,0.634811
82,0.611721
83,0.6258535
84,0.6262285
85,0.6259435000000001
86,0.622541
87,0.6326709999999999
88,0.64244
89,0.629481
90,0.6374609999999999
91,0.6321045000000001
92,0.6301260000000001
93,0.6439900000000001
94,0.6284495
95,0.6297835
96,0.6289065
97,0.6352145
98,0.6436135000000001
99,0.6481534999999999
100,0.6577885000000001
101,0.652195
102,0.6664250000000002
103,0.6701708542713567
104,0.6881356783919598
105,0.6871105527638192
106,0.6729236180904521
107,0.6693356783919596
108,0.6766990000000002
109,0.676009
110,0.676219
111,0.690205
112,0.672706
113,0.665111
114,0.6657959999999999
115,0.6585659999999999
116,0.659606
117,0.664091
118,0.6630510000000001
119,0.676436
120,0.6732560000000001
121,0.682111
122,0.6763429999999999
123,0.674461
124,0.676446
125,0.6417665000000001
126,0.6596995
127,0.6533104999999999
128,0.6578844999999999
129,0.6665155
130,0.6821545
131,0.6901195
132,0.6920445
133,0.6849745
134,0.6945195
135,0.6829445
136,0.6944995
137,0.6756145000000001
138,0.6807795
139,0.6739445000000001
140,0.6817495
141,0.6646595
142,0.6570445
143,0.6602595
144,0.6561595
145,0.6611495
146,0.6444794999999999
147,0.64937
148,0.659
149,0.63095
150,0.64097
151,0.6372950000000001
152,0.64586
153,0.6491499999999999
154,0.6649269662921349
155,0.6632694610778442
156,0.6707844311377247
157,0.6722760736196319
